Image,Original Size,SVD Compressed Size,SVD Compression Ratio,SVD MSE,SVD PSNR,SVD SSIM,DCT Compressed Size,DCT Compression Ratio,DCT MSE,DCT PSNR,DCT SSIM
Image85,3239,1772,1.83,716.11,19.58,0.39,3108,1.04,2.42,44.29,0.99
Image86,2148,1183,1.82,260.25,23.98,0.56,1234,1.74,6.01,40.34,0.96
Image87,1096,834,1.31,202.51,25.07,0.84,540,2.03,2.34,44.43,0.98
Image88,2320,1684,1.38,425.39,21.84,0.64,1729,1.34,4.81,41.31,0.97
Image89,2444,1347,1.81,446.88,21.63,0.52,2208,1.11,2.24,44.63,0.98
Image90,4332,2175,1.99,1724.61,15.76,0.33,4248,1.02,1.67,45.92,0.99
Image91,2803,1553,1.8,502.1,21.12,0.45,2645,1.06,2.44,44.25,0.99
Image92,3571,1985,1.8,1312.33,16.95,0.34,3462,1.03,2.01,45.11,0.99
Image93,2626,1593,1.65,396.51,22.15,0.5,2477,1.06,1.95,45.24,0.99
Image94,3278,1729,1.9,816.02,19.01,0.49,2879,1.14,3.87,42.25,0.98
Image95,2349,1164,2.02,150.88,26.34,0.64,2023,1.16,4.58,41.52,0.98
Image96,2208,1157,1.91,174.96,25.7,0.64,1875,1.18,4.33,41.77,0.98
Image97,4204,1972,2.13,616.39,20.23,0.2,4185,1.0,1.1,47.7,1.0
Image98,2020,993,2.03,89.05,28.63,0.82,669,3.02,6.16,40.23,0.93
Image99,2545,1219,2.09,259.51,23.99,0.67,1847,1.38,4.9,41.23,0.96
Image100,1285,838,1.53,147.48,26.44,0.88,567,2.27,2.17,44.76,0.98
